name,variable name,epoch timestamp,vcc,vbatt,charge state
Greenville Camera v5 sn191 (took pic),s.bs,1710161936,3.316,3.321,1
Greenville Camera v5 sn191 (took pic),s.bs,1710161670,3.269,3.32,1
Greenville Camera v5 sn191 (took pic),s.bs,1710161143,3.269,3.319,1
Greenville Camera v5 sn191 (took pic),s.bs,1710161036,3.292,3.32,1
Greenville Camera v5 sn191 (took pic),s.bs,1710160551,3.269,3.311,1
Greenville Camera v5 sn191 (took pic),s.bs,1710160232,3.316,3.315,1
Greenville Camera v5 sn191 (took pic),s.bs,1710160001,3.269,3.312,1
Greenville Camera v5 sn191 (took pic),s.bs,1710159808,3.316,3.309,1
Greenville Camera v5 sn191 (took pic),s.bs,1710159602,3.292,3.312,1
Greenville Camera v5 sn191 (took pic),s.bs,1710158841,3.269,3.3,1
Greenville Camera v5 sn191 (took pic),s.bs,1710158489,3.292,3.309,1
Greenville Camera v5 sn191 (took pic),s.bs,1710158152,3.269,3.311,1
Greenville Camera v5 sn191 (took pic),s.bs,1710157920,3.316,3.306,1
Greenville Camera v5 sn191 (took pic),s.bs,1710157545,3.269,3.3,1
Greenville Camera v5 sn191 (took pic),s.bs,1710157270,3.25,3.305,1
Greenville Camera v5 sn191 (took pic),s.bs,1710157198,3.269,3.309,1
Greenville Camera v5 sn191 (took pic),s.bs,1710156859,3.292,3.308,1
Greenville Camera v5 sn191 (took pic),s.bs,1710156386,3.316,3.307,0
Greenville Camera v5 sn191 (took pic),s.bs,1710156286,3.316,3.306,0
Greenville Camera v5 sn191 (took pic),s.bs,1710155860,3.269,3.305,0
Greenville Camera v5 sn191 (took pic),s.bs,1710155663,3.269,3.309,0
Greenville Camera v5 sn191 (took pic),s.bs,1710155269,3.25,3.309,0
Greenville Camera v5 sn191 (took pic),s.bs,1710154945,3.269,3.308,0
Greenville Camera v5 sn191 (took pic),s.bs,1710154651,3.292,3.311,0
Greenville Camera v5 sn191 (took pic),s.bs,1710154241,3.269,3.311,0
Greenville Camera v5 sn191 (took pic),s.bs,1710154033,3.292,3.308,0
Greenville Camera v5 sn191 (took pic),s.bs,1710153624,3.269,3.308,0
